YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Sample_Size,Gender,Race,Age,Education
2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Some Days,300,Male,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,194,Overall,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,194,Overall,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Status,Current,1599,Female,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,149,Male,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),User Status,Current,3080,Overall,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,70,Female,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),Frequency of Use,Every Day,307,Male,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),Frequency of Use,Some Days,307,Male,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),User Status,Current,8050,Female,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Every Day,1972,Overall,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,362,Overall,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,292,Male,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Status,Current,6636,Male,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Some Days,1972,Overall,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),User Status,Current,6646,Male,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),Frequency of Use,Some Days,542,Overall,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),Frequency of Use,Every Day,235,Female,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,292,Male,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,70,Female,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),User Status,Current,14658,Overall,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),User Status,Current,8142,Female,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Every Day,1012,Male,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,362,Overall,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Some Days,1012,Male,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Status,Current,14770,Overall,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),Frequency of Use,Some Days,235,Female,All Races,All Ages,All Grades
2017,Arizona,Smokeless Tobacco Use (Adults),User Status,Current,14812,Overall,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Every Day,960,Female,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Status,Current,8109,Female,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),User Status,Current,6584,Male,All Races,All Ages,All Grades
2017,Arizona,E-Cigarette Use (Adults),Frequency of Use,Every Day,542,Overall,All Races,All Ages,All Grades
2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Some Days,960,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Frequency,Every Day,505,Female,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Some Days,141,Overall,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),User Status,Current,5111,Overall,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),User Status,Current,3251,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Status,Current,1816,Male,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),User Status,Current,1802,Male,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Some Days,66,Male,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Every Day,141,Overall,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Every Day,75,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Frequency,Some Days,808,Overall,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,189,Overall,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,136,Male,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,136,Male,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Every Day,66,Male,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,53,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Status,Current,5100,Overall,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Some Days,75,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Frequency,Every Day,303,Male,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Frequency,Some Days,505,Female,All Races,All Ages,All Grades
2017,Arkansas,E-Cigarette Use (Adults),User Status,Current,5061,Overall,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,53,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Status,Current,3276,Female,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),User Status,Current,1822,Male,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),User Status,Current,3281,Female,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Frequency,Some Days,303,Male,All Races,All Ages,All Grades
2017,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,189,Overall,All Races,All Ages,All Grades
2017,Arkansas,Cigarette Use (Adults),Smoking Frequency,Every Day,808,Overall,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),Frequency of Use,Some Days,267,Overall,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),User Status,Current,8728,Overall,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,132,Overall,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,115,Male,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Status,Current,4438,Female,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),Frequency of Use,Every Day,267,Overall,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),User Status,Current,4236,Male,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,115,Male,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),Frequency of Use,Some Days,95,Female,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),User Status,Current,4411,Female,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Frequency,Every Day,372,Female,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),Frequency of Use,Every Day,95,Female,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Frequency,Every Day,954,Overall,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),Frequency of Use,Some Days,172,Male,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,132,Overall,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Frequency,Some Days,372,Female,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),User Status,Current,4442,Female,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Frequency,Every Day,582,Male,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Frequency,Some Days,582,Male,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),User Status,Current,8649,Overall,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Status,Current,8717,Overall,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,California,E-Cigarette Use (Adults),Frequency of Use,Every Day,172,Male,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Status,Current,4277,Male,All Races,All Ages,All Grades
2017,California,Cigarette Use (Adults),Smoking Frequency,Some Days,954,Overall,All Races,All Ages,All Grades
2017,California,Smokeless Tobacco Use (Adults),User Status,Current,4284,Male,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Some Days,180,Male,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Every Day,180,Male,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Every Day,324,Overall,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,534,Female,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Status,Current,4144,Male,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Some Days,324,Overall,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,4812,Female,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Status,Current,4779,Female,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,4165,Male,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,534,Female,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),User Status,Current,4770,Female,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),User Status,Current,8906,Overall,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,576,Male,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,289,Overall,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,8984,Overall,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Every Day,144,Female,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Status,Current,8930,Overall,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Some Days,144,Female,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,254,Male,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,1110,Overall,All Races,All Ages,All Grades
2017,Colorado,E-Cigarette Use (Adults),User Status,Current,4129,Male,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,1110,Overall,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,289,Overall,All Races,All Ages,All Grades
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,576,Male,All Races,All Ages,All Grades
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,254,Male,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),Frequency of Use,Some Days,124,Male,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Status,Current,10072,Overall,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),Frequency of Use,Some Days,229,Overall,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,91,Male,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),Frequency of Use,Every Day,105,Female,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,91,Male,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),User Status,Current,10131,Overall,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Frequency,Every Day,1063,Overall,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Frequency,Every Day,505,Male,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Frequency,Some Days,558,Female,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Frequency,Every Day,558,Female,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,126,Overall,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),User Status,Current,5714,Female,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Status,Current,4378,Male,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),User Status,Current,5659,Female,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),User Status,Current,10025,Overall,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),Frequency of Use,Every Day,124,Male,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),Frequency of Use,Every Day,229,Overall,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,126,Overall,All Races,All Ages,All Grades
2017,Connecticut,Smokeless Tobacco Use (Adults),User Status,Current,4401,Male,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),User Status,Current,4350,Male,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Frequency,Some Days,505,Male,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Status,Current,5679,Female,All Races,All Ages,All Grades
2017,Connecticut,E-Cigarette Use (Adults),Frequency of Use,Some Days,105,Female,All Races,All Ages,All Grades
2017,Connecticut,Cigarette Use (Adults),Smoking Frequency,Some Days,1063,Overall,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),User Status,Current,2206,Female,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,99,Overall,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),User Status,Current,3988,Overall,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),User Status,Current,1782,Male,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Some Days,594,Overall,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),Frequency of Use,Every Day,60,Female,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Every Day,311,Female,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,71,Male,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Status,Current,3959,Overall,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Status,Current,1768,Male,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Status,Current,2191,Female,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Every Day,594,Overall,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Some Days,311,Female,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),User Status,Current,2184,Female,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Every Day,283,Male,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),User Status,Current,1768,Male,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),User Status,Current,3952,Overall,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),Frequency of Use,Some Days,139,Overall,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),Frequency of Use,Some Days,60,Female,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,71,Male,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),Frequency of Use,Every Day,79,Male,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),Frequency of Use,Some Days,79,Male,All Races,All Ages,All Grades
2017,Delaware,E-Cigarette Use (Adults),Frequency of Use,Every Day,139,Overall,All Races,All Ages,All Grades
2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,99,Overall,All Races,All Ages,All Grades
2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Some Days,283,Male,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Every Day,281,Male,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Male,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Status,Current,1582,Male,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),User Status,Current,1599,Male,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Status,Current,3748,Overall,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Some Days,281,Male,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),Frequency of Use,Some Days,66,Overall,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),Frequency of Use,Every Day,66,Overall,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),User Status,Current,2190,Female,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),Frequency of Use,Some Days,,Male,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Every Day,276,Female,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Overall,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Male,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Some Days,276,Female,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Status,Current,2164,Female,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),User Status,Current,1594,Male,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),Frequency of Use,Every Day,,Male,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades
2017,District of Columbia,E-Cigarette Use (Adults),User Status,Current,3786,Overall,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Every Day,557,Overall,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),User Status,Current,3800,Overall,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),User Status,Current,2199,Female,All Races,All Ages,All Grades
2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Overall,All Races,All Ages,All Grades
2017,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Some Days,557,Overall,All Races,All Ages,All Grades
2017,Florida,Cigarette Use (Adults),Smoking Frequency,Every Day,3753,Overall,All Races,All Ages,All Grades
2017,Florida,Cigarette Use (Adults),Smoking Status,Current,21035,Overall,All Races,All Ages,All Grades
2017,Florida,Smokeless Tobacco Use (Adults),User Status,Current,9294,Male,All Races,All Ages,All Grades
2017,Florida,E-Cigarette Use (Adults),Frequency of Use,Some Days,885,Overall,All Races,All Ages,All Grades
2017,Florida,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,157,Female,All Races,All Ages,All Grades
2017,Florida,E-Cigarette Use (Adults),Frequency of Use,Some Days,433,Male,All Races,All Ages,All Grades
2017,Florida,Smokeless Tobacco Use (Adults),User Status,Current,21124,Overall,All Races,All Ages,All Grades
2017,Florida,E-Cigarette Use (Adults),Frequency of Use,Some Days,452,Female,All Races,All Ages,All Grades
2017,Florida,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,826,Overall,All Races,All Ages,All Grades
2017,Florida,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,826,Overall,All Races,All Ages,All Grades
2017,Florida,Cigarette Use (Adults),Smoking Frequency,Some Days,3753,Overall,All Races,All Ages,All Grades
2017,Florida,E-Cigarette Use (Adults),Frequency of Use,Every Day,433,Male,All Races,All Ages,All Grades
2017,Florida,Cigarette Use (Adults),Smoking Frequency,Some Days,1804,Male,All Races,All Ages,All Grades
2017,Florida,Cigarette Use (Adults),Smoking Status,Current,9245,Male,All Races,All Ages,All Grades
2017,Florida,E-Cigarette Use (Adults),Frequency of Use,Every Day,452,Female,All Races,All Ages,All Grades
2017,Florida,Cigarette Use (Adults),Smoking Frequency,Some Days,1949,Female,All Races,All Ages,All Grades
