YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Sample_Size,Gender,Race,Age,Education,States,DisplayOrder,SubMeasureID,StratificationID4,StratificationID3,StratificationID2,StratificationID1,TopicId,MeasureId,TopicTypeId,GeoLocation,High_Confidence_Limit,Data_Value_Std_Err,Data_Value_Footnote,Low_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Unit,Data_Value_Type,Data_Value,DataSource,TopicType,LocationAbbr
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,1110,Overall,All Races,All Ages,All Grades,9,25,BRF25,6EDU,6RAC,8AGE,1GEN,100BEH,166SSP,BEH,"(38.843840757000464, -106.13361092099967)",70,1.7,,63.2,,%,Percentage,66.6,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),User Status,Current,4129,Male,All Races,All Ages,All Grades,9,63,BRF63,6EDU,6RAC,8AGE,2GEN,107BEH,176EUS,BEH,"(38.843840757000464, -106.13361092099967)",8,0.6,,5.8,,%,Percentage,6.9,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Some Days,144,Female,All Races,All Ages,All Grades,9,62,BRF62,6EDU,6RAC,8AGE,3GEN,107BEH,175EFU,BEH,"(38.843840757000464, -106.13361092099967)",78.1,4.6,,59.9,,%,Percentage,69,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Every Day,144,Female,All Races,All Ages,All Grades,9,61,BRF61,6EDU,6RAC,8AGE,3GEN,107BEH,175EFU,BEH,"(38.843840757000464, -106.13361092099967)",40.1,4.6,,21.9,,%,Percentage,31,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,576,Male,All Races,All Ages,All Grades,9,25,BRF25,6EDU,6RAC,8AGE,2GEN,100BEH,166SSP,BEH,"(38.843840757000464, -106.13361092099967)",69.9,2.4,,60.7,,%,Percentage,65.3,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),User Status,Current,8906,Overall,All Races,All Ages,All Grades,9,63,BRF63,6EDU,6RAC,8AGE,1GEN,107BEH,176EUS,BEH,"(38.843840757000464, -106.13361092099967)",6,0.3,,4.6,,%,Percentage,5.3,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,534,Female,All Races,All Ages,All Grades,9,25,BRF25,6EDU,6RAC,8AGE,3GEN,100BEH,166SSP,BEH,"(38.843840757000464, -106.13361092099967)",73,2.5,,63.4,,%,Percentage,68.2,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,4165,Male,All Races,All Ages,All Grades,9,80,BRF80,6EDU,6RAC,8AGE,2GEN,150BEH,179SUS,BEH,"(38.843840757000464, -106.13361092099967)",8.1,0.5,,6.1,,%,Percentage,7.1,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Some Days,324,Overall,All Races,All Ages,All Grades,9,62,BRF62,6EDU,6RAC,8AGE,1GEN,107BEH,175EFU,BEH,"(38.843840757000464, -106.13361092099967)",70.5,3.1,,58.1,,%,Percentage,64.3,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Status,Current,4144,Male,All Races,All Ages,All Grades,9,27,BRF27,6EDU,6RAC,8AGE,2GEN,100BEH,165SSA,BEH,"(38.843840757000464, -106.13361092099967)",18,0.7,,15.2,,%,Percentage,16.6,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades,9,78,BRF78,6EDU,6RAC,8AGE,3GEN,150BEH,178SFU,BEH,"(38.843840757000464, -106.13361092099967)",,,Data in these cells have been suppressed because of a small sample size,,*,%,Percentage,,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Every Day,324,Overall,All Races,All Ages,All Grades,9,61,BRF61,6EDU,6RAC,8AGE,1GEN,107BEH,175EFU,BEH,"(38.843840757000464, -106.13361092099967)",41.9,3.1,,29.5,,%,Percentage,35.7,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,Female,All Races,All Ages,All Grades,9,79,BRF79,6EDU,6RAC,8AGE,3GEN,150BEH,178SFU,BEH,"(38.843840757000464, -106.13361092099967)",,,Data in these cells have been suppressed because of a small sample size,,*,%,Percentage,,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Some Days,180,Male,All Races,All Ages,All Grades,9,62,BRF62,6EDU,6RAC,8AGE,2GEN,107BEH,175EFU,BEH,"(38.843840757000464, -106.13361092099967)",69.8,4.1,,53.6,,%,Percentage,61.7,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,289,Overall,All Races,All Ages,All Grades,9,78,BRF78,6EDU,6RAC,8AGE,1GEN,150BEH,178SFU,BEH,"(38.843840757000464, -106.13361092099967)",59.4,3.6,,45.4,,%,Percentage,52.4,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Status,Current,4779,Female,All Races,All Ages,All Grades,9,27,BRF27,6EDU,6RAC,8AGE,3GEN,100BEH,165SSA,BEH,"(38.843840757000464, -106.13361092099967)",13.9,0.6,,11.3,,%,Percentage,12.6,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,4812,Female,All Races,All Ages,All Grades,9,80,BRF80,6EDU,6RAC,8AGE,3GEN,150BEH,179SUS,BEH,"(38.843840757000464, -106.13361092099967)",1.3,0.2,,0.5,,%,Percentage,0.9,BRFSS,Tobacco Use – Survey Data,CO
